ArraySize,Distribution,Comparisons,ArrayAccesses,Assignments,ExecutionTimeMs
100,Random,250,200,252,0,003100
100,Sorted,250,200,251,0,004900
100,ReverseSorted,250,200,251,0,004500
100,NearlySorted,250,200,251,0,002600
500,Random,1251,1000,1253,0,015800
500,Sorted,1250,1000,1255,0,015600
500,ReverseSorted,1250,1000,1255,0,015500
500,NearlySorted,1250,1000,1255,0,015200
1000,Random,2502,2000,2506,0,029200
1000,Sorted,2500,2000,2510,0,036500
1000,ReverseSorted,2500,2000,2510,0,021700
1000,NearlySorted,2504,2000,2506,0,030600
5000,Random,12518,10000,12534,0,141100
5000,Sorted,12500,10000,12550,0,251100
5000,ReverseSorted,12500,10000,12550,0,146300
5000,NearlySorted,12507,10000,12543,0,236000
10000,Random,25042,20000,25053,0,411700
10000,Sorted,25000,20000,25100,0,358200
10000,ReverseSorted,25000,20000,25100,0,341400
10000,NearlySorted,25009,20000,25091,0,038300
25000,Random,62609,50000,62611,0,091000
25000,Sorted,62500,50000,62750,0,088900
25000,ReverseSorted,62500,50000,62750,0,041400
25000,NearlySorted,62530,50000,62720,0,088900
50000,Random,125263,100000,125235,0,180600
50000,Sorted,125000,100000,125500,0,176500
50000,ReverseSorted,125000,100000,125500,0,176200
50000,NearlySorted,125038,100000,125462,0,177100
100000,Random,250508,200000,250461,0,372800
100000,Sorted,250000,200000,251000,0,350500
100000,ReverseSorted,250000,200000,251000,0,352000
100000,NearlySorted,250085,200000,250915,0,232200
